DateTime,Entries,UniqueIPs
1537043426,4947,4947
1537044932,4966,4966
1537046061,4980,4980
1537046896,4994,4994
1537048225,4974,4974
1537049660,4984,4984
1537050502,5004,5004
1537052122,4995,4995
1537053323,4993,4993
1537054099,5012,5012
1537054939,4998,4998
1537056856,5005,5005
1537058419,5052,5052
1537059384,5079,5079
1537061300,5102,5102
1537062935,5101,5101
1537064060,5111,5111
1537065633,5117,5117
1537067114,5150,5150
1537068508,5167,5167
1537071025,5160,5160
1537072102,5179,5179
1537074319,5169,5169
1537074858,5184,5184
1537076117,5180,5180
1537078225,5177,5177
1537079513,5165,5165
1537080917,5179,5179
1537082078,5167,5167
1537083463,5147,5147
1537084580,5145,5145
1537085663,5149,5149
1537086919,5136,5136
1537088177,5165,5165
1537089318,5129,5129
1537090096,5144,5144
1537090935,5138,5138
1537092865,5139,5139
1537094421,5125,5125
1537095716,5115,5115
1537096822,5137,5137
1537097299,5143,5143
1537098980,5116,5116
1537100059,5118,5118
1537101316,5108,5108
1537103117,5090,5090
1537103654,5096,5096
1537105340,5102,5102
1537106176,5119,5119
1537107255,5100,5100
1537108101,5113,5113
1537109774,5118,5118
1537110054,5094,5094
1537111222,5129,5129
1537112422,5119,5119
1537113762,5117,5117
1537114923,5135,5135
1537116322,5115,5115
1537117523,5095,5095
1537119298,5099,5099
1537120777,5103,5103
1537121655,5119,5119
1537122917,5098,5098
1537124118,5110,5110
1537126095,5134,5134
1537127780,5134,5134
1537128854,5124,5124
1537130541,5140,5140
1537131387,5152,5152
1537132526,5163,5163
1537134137,5173,5173
1537134975,5191,5191
1537136126,5188,5188
1537137317,5187,5187
1537138581,5200,5200
1537139663,5193,5193
1537140803,5186,5186
1537143019,5178,5178
1537145118,5177,5177
1537145778,5185,5185
1537147701,5183,5183
1537150221,5167,5167
1537150460,5170,5170
1537151680,5165,5165
1537153521,5159,5159
1537154718,5175,5175
1537155921,5157,5157
1537157655,5151,5151
1537158497,5153,5153
1537160178,5154,5154
1537161321,5134,5134
1537162506,5130,5130
1537164235,5130,5130
1537165821,5100,5100
1537166537,5110,5110
1537168461,5102,5102
1537169295,5119,5119
1537170976,5104,5104
1537172064,5075,5075
1537173621,5110,5110
1537174581,5124,5124
1537175717,5122,5122
1537177221,5124,5124
1537178179,5150,5150
1537180100,5148,5148
1537180942,5130,5130
1537182856,5125,5125
1537183700,5131,5131
1537184541,5117,5117
1537186217,5109,5109
1537188136,5091,5091
1537189253,5094,5094
1537190897,5125,5125
1537191736,5099,5099
1537193014,5092,5092
1537194125,5110,5110
1537195523,5088,5088
1537197254,5095,5095
1537198939,5072,5072
1537199776,5091,5091
1537200055,5067,5067
1537201222,5079,5079
1537202421,5059,5059
1537204455,5073,5073
1537205585,5050,5050
1537206916,5070,5070
1537208118,5068,5068
1537209621,5046,5046
1537210853,4998,4998
1537212021,5018,5018
1537213221,4998,4998
1537213342,4988,4988
1537214455,5000,5000
1537215256,5016,5016
1537216939,4989,4989
1537217777,4992,4992
1537218857,4999,4999
1537219698,5008,5008
1537221378,5000,5000
1537222456,4972,4972
1537223671,4948,4948
1537224137,4965,4965
1537225522,4943,4943
1537226898,4955,4955
1537227753,4881,4881
1537228576,4893,4893
1537229662,4879,4879
1537230921,4840,4840
1537232722,4816,4816
1537234106,4831,4831
1537237233,4783,4783
1537238548,4739,4739
1537239868,4731,4731
1537241720,4746,4746
1537242927,4741,4741
1537244122,4730,4730
1537245268,4699,4699
1537246582,4699,4699
1537247717,4685,4685
1537249342,4621,4621
1537250188,4635,4635
1537251258,4609,4609
1537252941,4593,4593
1537253775,4602,4602
1537254855,4603,4603
1537256130,4588,4588
1537257390,4605,4605
1537258521,4604,4604
1537259302,4619,4619
1537260975,4640,4640
1537262055,4628,4628
1537263278,4625,4625
1537264517,4650,4650
1537265727,4634,4634
1537266503,4668,4668
1537268182,4619,4619
1537269257,4606,4606
1537270480,4579,4579
1537271764,4579,4579
1537273701,4595,4595
1537275382,4554,4554
1537276463,4539,4539
1537278029,4523,4523
1537279820,4465,4465
1537281741,4436,4436
1537283121,4429,4429
1537284321,4457,4457
1537286400,4678,4678
1537287621,4694,4694
1537288822,4730,4730
1537290316,4819,4819
1537291821,4791,4791
1537292541,4786,4786
1537294176,4780,4780
1537295320,4792,4792
1537296464,4761,4761
1537296976,4776,4776
1537298120,4757,4757
1537298900,4771,4771
1537300854,4709,4709
1537301661,4724,4724
1537303518,4721,4721
1537304174,4729,4729
1537306100,4726,4726
1537306936,4738,4738
1537308227,4726,4726
1537308859,4740,4740
1537310128,4735,4735
1537311318,4741,4741
1537312454,4732,4732
1537313295,4738,4738
1537314980,4740,4740
1537316910,4752,4752
1537318520,4739,4739
1537319720,4728,4728
1537321217,4723,4723
1537322390,4711,4711
1537323257,4720,4720
1537324944,4717,4717
1537325786,4729,4729
1537326868,4728,4728
1537327701,4734,4734
1537328546,4705,4705
1537330059,4711,4711
1537331433,4704,4704
1537332991,4718,4718
1537334124,4722,4722
1537335754,4698,4698
1537336912,4699,4699
1537338024,4706,4706
1537339221,4693,4693
1537339340,4679,4679
1537340599,4663,4663
1537341917,4673,4673
1537343775,4658,4658
1537345703,4599,4599
1537347388,4570,4570
1537348461,4556,4556
1537349720,4535,4535
1537351163,4546,4546
1537352420,4551,4551
1537353622,4551,4551
1537354584,4563,4563
1537355723,4556,4556
1537357342,4538,4538
1537358914,4539,4539
1537359269,4545,4545
1537360104,4560,4560
1537361778,4544,4544
1537362922,4551,4551
1537364540,4538,4538
1537365375,4570,4570
1537367299,4565,4565
1537369081,4552,4552
1537370061,4529,4529
1537370899,4545,4545
1537372577,4529,4529
1537373655,4512,4512
1537374498,4558,4558
1537375862,4594,4594
1537377027,4632,4632
1537378221,4641,4641
1537380617,4663,4663
1537382541,4670,4670
1537383921,4670,4670
1537385716,4672,4672
1537386135,4676,4676
1537387257,4673,4673
1537388899,4704,4704
1537390220,4677,4677
1537391656,4658,4658
1537392899,4654,4654
1537394115,4655,4655
1537395256,4669,4669
1537396101,4680,4680
1537397777,4673,4673
1537398858,4666,4666
1537400543,4658,4658
1537401387,4668,4668
1537402461,4667,4667
1537403313,4671,4671
1537404976,4739,4739
1537406902,4831,4831
1537408578,4855,4855
1537409721,4860,4860
1537411225,4870,4870
1537412727,4901,4901
1537414525,4915,4915
1537415778,4952,4952
1537416919,4947,4947
1537418536,4972,4972
1537419921,4984,4984
1537420458,4989,4989
1537422031,4988,4988
1537422998,4987,4987
1537424120,4989,4989
1537424919,5009,5009
1537426215,4996,4996
1537427426,4960,4960
1537428627,4941,4941
1537429815,4966,4966
1537431018,4923,4923
1537432227,4903,4903
1537433469,4918,4918
1537434858,4933,4933
1537438223,4935,4935
1537440140,4961,4961
1537441521,4980,4980
1537442717,5006,5006
1537443738,5021,5021
1537445655,5030,5030
1537447228,5029,5029
1537448193,5044,5044
1537449319,5032,5032
1537450523,5031,5031
1537452053,5019,5019
1537453221,5035,5035
1537453699,5045,5045
1537455016,5064,5064
1537456217,5201,5201
1537457332,5267,5267
1537458143,5220,5220
1537459385,5231,5231
1537460056,5242,5242
1537461323,5256,5256
1537462518,5278,5278
1537463719,5277,5277
1537464981,5269,5269
1537466114,5291,5291
1537467260,5296,5296
1537468522,5288,5288
1537469778,5284,5284
1537470925,5278,5278
1537471699,5289,5289
1537472537,5243,5243
1537474455,5244,5244
1537475883,5266,5266
1537476984,5255,5255
1537478122,5244,5244
1537478904,5254,5254
1537480219,5246,5246
1537481424,5239,5239
1537483338,5234,5234
1537484724,5247,5247
1537486505,5275,5275
1537486939,5292,5292
1537488628,5329,5329
1537489699,5363,5363
1537491378,5363,5363
1537492519,5374,5374
1537494025,5383,5383
1537496899,5407,5407
1537497738,5393,5393
1537499660,5400,5400
1537500500,5417,5417
1537502179,5413,5413
1537504099,5426,5426
1537505783,5396,5396
1537506924,5394,5394
1537508537,5398,5398
1537509700,5398,5398
1537510457,5415,5415
1537512022,5423,5423
1537513517,5415,5415
1537514807,5430,5430
1537515917,5435,5435
1537517654,5427,5427
1537519228,5416,5416
1537520723,5397,5397
1537521919,5406,5406
1537523119,5389,5389
1537524224,5377,5377
1537525700,5408,5408
1537527382,5398,5398
1537529305,5419,5419
1537530509,5411,5411
1537532055,5423,5423
1537533751,5429,5429
1537534583,5432,5432
1537535656,5407,5407
1537536925,5403,5403
1537538454,5415,5415
1537539257,5427,5427
1537540936,5416,5416
1537542317,5418,5418
1537542855,5421,5421
1537544542,5424,5424
1537545703,5233,5233
1537546459,5242,5242
1537548137,5016,5016
1537550066,5035,5035
1537550897,5047,5047
1537552575,5054,5054
1537553719,5044,5044
1537554498,5058,5058
1537556175,5061,5061
1537557320,5052,5052
1537558938,5039,5039
1537560273,5042,5042
1537561822,5034,5034
1537563918,5026,5026
1537564456,5035,5035
1537565717,5019,5019
1537567259,5024,5024
1537568058,5046,5046
1537569529,5047,5047
1537571118,5049,5049
1537571659,5050,5050
1537572498,5076,5076
1537574454,5054,5054
